cluster_id,Cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis
10,10,15,0,850450.0,100000001526235100;100000002472632100;100000008471634100;100000005505655100;100000000404740100,"Cluster of 15 nodes (0 seed clients), internal turnover 850,450 KZT. Top priority actors: 100000001526235100;100000002472632100;100000008471634100;100000005505655100;100000000404740100."
11,11,51,4,4949869.0,100000008346837100;100000005493505100;100000004188160100;100000001429930100;100000005370580100,"Cluster of 51 nodes (4 seed clients), internal turnover 4,949,869 KZT. Top priority actors: 100000008346837100;100000005493505100;100000004188160100;100000001429930100;100000005370580100."
12,12,119,2,18733331.0,100000003684369100;100000008165763100;100000004723755100;100000008748914100;100000007908818100,"Cluster of 119 nodes (2 seed clients), internal turnover 18,733,331 KZT. Top priority actors: 100000003684369100;100000008165763100;100000004723755100;100000008748914100;100000007908818100."
13,13,64,1,3932611.0,100000008680731100;100000004692798100;100000001899164100;100000000831684100;100000008443341100,"Cluster of 64 nodes (1 seed clients), internal turnover 3,932,611 KZT. Top priority actors: 100000008680731100;100000004692798100;100000001899164100;100000000831684100;100000008443341100."
14,14,35,1,1785922.0,100000004358004100;100000008172352100;100000005612411100;100000005507142100;100000007322059100,"Cluster of 35 nodes (1 seed clients), internal turnover 1,785,922 KZT. Top priority actors: 100000004358004100;100000008172352100;100000005612411100;100000005507142100;100000007322059100."
15,15,39,0,2748338.0,100000004180097100;100000001530983100;100000002293421100;100000002448088100;100000003154105100,"Cluster of 39 nodes (0 seed clients), internal turnover 2,748,338 KZT. Top priority actors: 100000004180097100;100000001530983100;100000002293421100;100000002448088100;100000003154105100."
16,16,190,3,24676448.85,100000005910114100;100000004400305100;100000002398779100;100000002741024100;100000001732159100,"Cluster of 190 nodes (3 seed clients), internal turnover 24,676,449 KZT. Top priority actors: 100000005910114100;100000004400305100;100000002398779100;100000002741024100;100000001732159100."
17,17,64,0,4641795.62,100000005704413100;100000004569484100;100000002838861100;100000008379273100;100000005578559100,"Cluster of 64 nodes (0 seed clients), internal turnover 4,641,796 KZT. Top priority actors: 100000005704413100;100000004569484100;100000002838861100;100000008379273100;100000005578559100."
18,18,12,0,2022500.0,100000003701161100;100000002267998100;100000003718221100;100000008027922100;100000005974542100,"Cluster of 12 nodes (0 seed clients), internal turnover 2,022,500 KZT. Top priority actors: 100000003701161100;100000002267998100;100000003718221100;100000008027922100;100000005974542100."
19,19,189,1,46319346.62,100000008547948100;100000008547844100;100000008489922100;100000002781227100;100000008522127100,"Cluster of 189 nodes (1 seed clients), internal turnover 46,319,347 KZT. Top priority actors: 100000008547948100;100000008547844100;100000008489922100;100000002781227100;100000008522127100."
20,20,116,0,10304820.59,100000008603629100;100000008477350100;100000000661912100;100000005140601100;100000001600934100,"Cluster of 116 nodes (0 seed clients), internal turnover 10,304,821 KZT. Top priority actors: 100000008603629100;100000008477350100;100000000661912100;100000005140601100;100000001600934100."
21,21,15,0,3626010.0,100000008461532100;100000000791285100;100000003470579100;100000002514975100;100000006704530100,"Cluster of 15 nodes (0 seed clients), internal turnover 3,626,010 KZT. Top priority actors: 100000008461532100;100000000791285100;100000003470579100;100000002514975100;100000006704530100."
22,22,41,0,5253769.0,100000004351795100;100000003242289100;100000008512552100;100000002217161100;100000002645609100,"Cluster of 41 nodes (0 seed clients), internal turnover 5,253,769 KZT. Top priority actors: 100000004351795100;100000003242289100;100000008512552100;100000002217161100;100000002645609100."
23,23,18,1,21603840.0,100000002224132100;100000004603109100;100000004892144100;100000004813068100;100000001965374100,"Cluster of 18 nodes (1 seed clients), internal turnover 21,603,840 KZT. Top priority actors: 100000002224132100;100000004603109100;100000004892144100;100000004813068100;100000001965374100."
24,24,91,1,11496083.8,100000000343175100;100000000437046100;100000003115284100;100000004759121100;100000002941114100,"Cluster of 91 nodes (1 seed clients), internal turnover 11,496,084 KZT. Top priority actors: 100000000343175100;100000000437046100;100000003115284100;100000004759121100;100000002941114100."
25,25,14,0,6848649.0,100000007442518100;100000008258083100;100000000673868100;100000001785161100;100000001584286100,"Cluster of 14 nodes (0 seed clients), internal turnover 6,848,649 KZT. Top priority actors: 100000007442518100;100000008258083100;100000000673868100;100000001785161100;100000001584286100."
26,26,24,0,3340669.0,100000008213966100;100000000838385100;100000007382543100;100000004076740100;100000004017410100,"Cluster of 24 nodes (0 seed clients), internal turnover 3,340,669 KZT. Top priority actors: 100000008213966100;100000000838385100;100000007382543100;100000004076740100;100000004017410100."
27,27,2,0,26150.0,100000005685783100;100000008493007100,"Cluster of 2 nodes (0 seed clients), internal turnover 26,150 KZT. Top priority actors: 100000005685783100;100000008493007100."
28,28,2,0,10000.0,100000000979567100;100000004739664100,"Cluster of 2 nodes (0 seed clients), internal turnover 10,000 KZT. Top priority actors: 100000000979567100;100000004739664100."
29,29,112,0,4050628.0,100000002578405100;100000005041905100;100000004292885100;100000008712827100;100000001632325100,"Cluster of 112 nodes (0 seed clients), internal turnover 4,050,628 KZT. Top priority actors: 100000002578405100;100000005041905100;100000004292885100;100000008712827100;100000001632325100."
30,30,2,0,34547.0,100000008745676100;100000000572276100,"Cluster of 2 nodes (0 seed clients), internal turnover 34,547 KZT. Top priority actors: 100000008745676100;100000000572276100."
31,31,2,0,213000.0,100000002214383100;100000003192309100,"Cluster of 2 nodes (0 seed clients), internal turnover 213,000 KZT. Top priority actors: 100000002214383100;100000003192309100."
32,32,109,1,3259876.0,100000002527114100;100000003942602100;100000006656003100;100000004792397100;100000001952325100,"Cluster of 109 nodes (1 seed clients), internal turnover 3,259,876 KZT. Top priority actors: 100000002527114100;100000003942602100;100000006656003100;100000004792397100;100000001952325100."
33,33,39,0,2090445.0,100000002733905100;100000001166289100;100000001697501100;100000005342513100;100000005756535100,"Cluster of 39 nodes (0 seed clients), internal turnover 2,090,445 KZT. Top priority actors: 100000002733905100;100000001166289100;100000001697501100;100000005342513100;100000005756535100."
34,34,2,0,76950.0,100000008778010100;100000002214664100,"Cluster of 2 nodes (0 seed clients), internal turnover 76,950 KZT. Top priority actors: 100000008778010100;100000002214664100."
35,35,2,1,30000.0,100000003200071100;100000003980083100,"Cluster of 2 nodes (1 seed clients), internal turnover 30,000 KZT. Top priority actors: 100000003200071100;100000003980083100."
36,36,6,1,275885.0,100000005485830100;100000005895525100;100000002462183100;100000007175718100;100000005056870100,"Cluster of 6 nodes (1 seed clients), internal turnover 275,885 KZT. Top priority actors: 100000005485830100;100000005895525100;100000002462183100;100000007175718100;100000005056870100."
37,37,6,0,252813.0,100000004160650100;100000000704700100;100000002886166100;100000004064431100;100000003338583100,"Cluster of 6 nodes (0 seed clients), internal turnover 252,813 KZT. Top priority actors: 100000004160650100;100000000704700100;100000002886166100;100000004064431100;100000003338583100."
38,38,4,0,280000.0,100000004144536100;100000002731501100;100000003031890100;100000008774237100,"Cluster of 4 nodes (0 seed clients), internal turnover 280,000 KZT. Top priority actors: 100000004144536100;100000002731501100;100000003031890100;100000008774237100."
39,39,4,1,292000.0,100000004007116100;100000003616818100;100000004005964100;100000003603979100,"Cluster of 4 nodes (1 seed clients), internal turnover 292,000 KZT. Top priority actors: 100000004007116100;100000003616818100;100000004005964100;100000003603979100."
40,40,3,0,174000.0,100000001330595100;100000002257794100;100000003275398100,"Cluster of 3 nodes (0 seed clients), internal turnover 174,000 KZT. Top priority actors: 100000001330595100;100000002257794100;100000003275398100."
41,41,2,0,20180.0,100000001872484100;100000002459163100,"Cluster of 2 nodes (0 seed clients), internal turnover 20,180 KZT. Top priority actors: 100000001872484100;100000002459163100."
42,42,2,1,19000.0,100000008601794100;100000000785800100,"Cluster of 2 nodes (1 seed clients), internal turnover 19,000 KZT. Top priority actors: 100000008601794100;100000000785800100."
43,43,3,1,711600.0,100000008659445100;100000008736940100;100000008751429100,"Cluster of 3 nodes (1 seed clients), internal turnover 711,600 KZT. Top priority actors: 100000008659445100;100000008736940100;100000008751429100."
44,44,3,0,221000.0,100000005456919100;100000008193577100;100000000307908100,"Cluster of 3 nodes (0 seed clients), internal turnover 221,000 KZT. Top priority actors: 100000005456919100;100000008193577100;100000000307908100."
45,45,3,1,70000.0,100000008575624100;100000005546031100;100000005363908100,"Cluster of 3 nodes (1 seed clients), internal turnover 70,000 KZT. Top priority actors: 100000008575624100;100000005546031100;100000005363908100."
46,46,3,0,250000.0,100000004331458100;100000005547096100;100000004094958100,"Cluster of 3 nodes (0 seed clients), internal turnover 250,000 KZT. Top priority actors: 100000004331458100;100000005547096100;100000004094958100."
47,47,2,1,31050.0,100000004971871100;100000003148220100,"Cluster of 2 nodes (1 seed clients), internal turnover 31,050 KZT. Top priority actors: 100000004971871100;100000003148220100."
48,48,2,0,30000.0,100000001852140100;100000006888238100,"Cluster of 2 nodes (0 seed clients), internal turnover 30,000 KZT. Top priority actors: 100000001852140100;100000006888238100."
49,49,3,1,450816.0,100000004388983100;100000005034574100;100000007283257100,"Cluster of 3 nodes (1 seed clients), internal turnover 450,816 KZT. Top priority actors: 100000004388983100;100000005034574100;100000007283257100."
50,50,2,1,81465.0,100000005392290100;100000003865939100,"Cluster of 2 nodes (1 seed clients), internal turnover 81,465 KZT. Top priority actors: 100000005392290100;100000003865939100."
51,51,3,1,33007.0,100000006249740100;100000007347733100;100000008129393100,"Cluster of 3 nodes (1 seed clients), internal turnover 33,007 KZT. Top priority actors: 100000006249740100;100000007347733100;100000008129393100."
52,52,2,1,15000.0,100000006831291100;100000006562026100,"Cluster of 2 nodes (1 seed clients), internal turnover 15,000 KZT. Top priority actors: 100000006831291100;100000006562026100."
53,53,2,0,6910.0,100000000955444100;100000003888271100,"Cluster of 2 nodes (0 seed clients), internal turnover 6,910 KZT. Top priority actors: 100000000955444100;100000003888271100."
54,54,2,0,5000.0,100000007939160100;100000007930878100,"Cluster of 2 nodes (0 seed clients), internal turnover 5,000 KZT. Top priority actors: 100000007939160100;100000007930878100."
55,55,2,1,680900.0,100000000580561100;100000005183943100,"Cluster of 2 nodes (1 seed clients), internal turnover 680,900 KZT. Top priority actors: 100000000580561100;100000005183943100."
56,56,3,0,1025200.0,100000004135268100;100000004979498100;100000002738256100,"Cluster of 3 nodes (0 seed clients), internal turnover 1,025,200 KZT. Top priority actors: 100000004135268100;100000004979498100;100000002738256100."
57,57,2,1,370000.0,100000008571433100;100000007507343100,"Cluster of 2 nodes (1 seed clients), internal turnover 370,000 KZT. Top priority actors: 100000008571433100;100000007507343100."
58,58,3,1,450000.0,100000007018630100;100000000769919100;100000002371751100,"Cluster of 3 nodes (1 seed clients), internal turnover 450,000 KZT. Top priority actors: 100000007018630100;100000000769919100;100000002371751100."
59,59,4,1,61500.0,100000006232815100;100000003617552100;100000006734554100;100000005669845100,"Cluster of 4 nodes (1 seed clients), internal turnover 61,500 KZT. Top priority actors: 100000006232815100;100000003617552100;100000006734554100;100000005669845100."
60,60,2,0,66666.0,100000004192865100;100000000607731100,"Cluster of 2 nodes (0 seed clients), internal turnover 66,666 KZT. Top priority actors: 100000004192865100;100000000607731100."
61,61,2,0,35000.0,100000004463277100;100000000703894100,"Cluster of 2 nodes (0 seed clients), internal turnover 35,000 KZT. Top priority actors: 100000004463277100;100000000703894100."
62,62,5,0,809750.0,100000001380054100;100000003164661100;100000005077484100;100000005055454100;100000001782980100,"Cluster of 5 nodes (0 seed clients), internal turnover 809,750 KZT. Top priority actors: 100000001380054100;100000003164661100;100000005077484100;100000005055454100;100000001782980100."
63,63,1,1,0.0,100000000456947100,"Cluster of 1 nodes (1 seed clients), internal turnover 0 KZT. Top priority actors: 100000000456947100."
64,64,1,1,0.0,100000003265658100,"Cluster of 1 nodes (1 seed clients), internal turnover 0 KZT. Top priority actors: 100000003265658100."
65,65,1,1,0.0,100000003349739100,"Cluster of 1 nodes (1 seed clients), internal turnover 0 KZT. Top priority actors: 100000003349739100."
66,66,1,1,0.0,100000003770083100,"Cluster of 1 nodes (1 seed clients), internal turnover 0 KZT. Top priority actors: 100000003770083100."
67,67,1,1,0.0,100000004021459100,"Cluster of 1 nodes (1 seed clients), internal turnover 0 KZT. Top priority actors: 100000004021459100."
68,68,1,1,0.0,100000004174835100,"Cluster of 1 nodes (1 seed clients), internal turnover 0 KZT. Top priority actors: 100000004174835100."
69,69,1,1,0.0,100000005017150100,"Cluster of 1 nodes (1 seed clients), internal turnover 0 KZT. Top priority actors: 100000005017150100."
70,70,1,1,0.0,100000005087431100,"Cluster of 1 nodes (1 seed clients), internal turnover 0 KZT. Top priority actors: 100000005087431100."
71,71,1,1,0.0,100000005235389100,"Cluster of 1 nodes (1 seed clients), internal turnover 0 KZT. Top priority actors: 100000005235389100."
72,72,1,1,0.0,100000005480435100,"Cluster of 1 nodes (1 seed clients), internal turnover 0 KZT. Top priority actors: 100000005480435100."
73,73,1,1,0.0,100000005495722100,"Cluster of 1 nodes (1 seed clients), internal turnover 0 KZT. Top priority actors: 100000005495722100."
74,74,1,1,0.0,100000005550592100,"Cluster of 1 nodes (1 seed clients), internal turnover 0 KZT. Top priority actors: 100000005550592100."
75,75,1,1,0.0,100000005560900100,"Cluster of 1 nodes (1 seed clients), internal turnover 0 KZT. Top priority actors: 100000005560900100."
76,76,1,1,0.0,100000005568407100,"Cluster of 1 nodes (1 seed clients), internal turnover 0 KZT. Top priority actors: 100000005568407100."
77,77,1,1,0.0,100000008117324100,"Cluster of 1 nodes (1 seed clients), internal turnover 0 KZT. Top priority actors: 100000008117324100."
78,78,1,1,0.0,100000008205000100,"Cluster of 1 nodes (1 seed clients), internal turnover 0 KZT. Top priority actors: 100000008205000100."
79,79,1,1,0.0,100000008513251100,"Cluster of 1 nodes (1 seed clients), internal turnover 0 KZT. Top priority actors: 100000008513251100."
80,80,1,1,0.0,100000008669037100,"Cluster of 1 nodes (1 seed clients), internal turnover 0 KZT. Top priority actors: 100000008669037100."
81,81,1,1,0.0,100000008701222100,"Cluster of 1 nodes (1 seed clients), internal turnover 0 KZT. Top priority actors: 100000008701222100."
