cluster_id,Cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis
0,0,98,1,7758490.71,100000006866783100;100000002957787100;100000008686313100;100000004071080100;100000004847758100,"Cluster of 98 nodes (1 seed clients), internal turnover 7,758,491 KZT. Top priority actors: 100000006866783100;100000002957787100;100000008686313100;100000004071080100;100000004847758100."
1,1,67,0,20113468.84,100000005933757100;100000002605308100;100000005242320100;100000001937767100;100000001463701100,"Cluster of 67 nodes (0 seed clients), internal turnover 20,113,469 KZT. Top priority actors: 100000005933757100;100000002605308100;100000005242320100;100000001937767100;100000001463701100."
2,2,187,16,26057980.56,100000003016635100;100000005382566100;100000004156082100;100000004041163100;100000008636603100,"Cluster of 187 nodes (16 seed clients), internal turnover 26,057,981 KZT. Top priority actors: 100000003016635100;100000005382566100;100000004156082100;100000004041163100;100000008636603100."
3,3,48,0,8369854.53,100000001857829100;100000008121806100;100000003178549100;100000006977207100;100000005010159100,"Cluster of 48 nodes (0 seed clients), internal turnover 8,369,855 KZT. Top priority actors: 100000001857829100;100000008121806100;100000003178549100;100000006977207100;100000005010159100."
4,4,53,0,1597722.0,100000008460102100;100000004159526100;100000006707582100;100000001287955100;100000008692291100,"Cluster of 53 nodes (0 seed clients), internal turnover 1,597,722 KZT. Top priority actors: 100000008460102100;100000004159526100;100000006707582100;100000001287955100;100000008692291100."
5,5,69,10,8974204.0,100000004403675100;100000007639767100;100000008516839100;100000005668605100;100000005409680100,"Cluster of 69 nodes (10 seed clients), internal turnover 8,974,204 KZT. Top priority actors: 100000004403675100;100000007639767100;100000008516839100;100000005668605100;100000005409680100."
6,6,99,5,17076151.66,100000001616816100;100000004015047100;100000001677929100;100000004221668100;100000008104567100,"Cluster of 99 nodes (5 seed clients), internal turnover 17,076,152 KZT. Top priority actors: 100000001616816100;100000004015047100;100000001677929100;100000004221668100;100000008104567100."
7,7,100,0,23514974.91,100000000331309100;100000008324800100;100000007390016100;100000002628576100;100000001222245100,"Cluster of 100 nodes (0 seed clients), internal turnover 23,514,975 KZT. Top priority actors: 100000000331309100;100000008324800100;100000007390016100;100000002628576100;100000001222245100."
8,8,50,0,2412575.0,100000002692750100;100000002870463100;100000003509750100;100000003636627100;100000005142492100,"Cluster of 50 nodes (0 seed clients), internal turnover 2,412,575 KZT. Top priority actors: 100000002692750100;100000002870463100;100000003509750100;100000003636627100;100000005142492100."
9,9,9,0,3404688.0,100000002175422100;100000003696422100;100000003557488100;100000002975437100;100000005042822100,"Cluster of 9 nodes (0 seed clients), internal turnover 3,404,688 KZT. Top priority actors: 100000002175422100;100000003696422100;100000003557488100;100000002975437100;100000005042822100."
